Animal,Date,Location,Session,Notes,More Notes
Marble19,9/24/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180924_1_openfield,1,Open field Day -2,
Marble19,9/24/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180924_2_fcbox,2,Shock Box Day -2,
Marble19,9/25/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180925_1_openfield,1,Open field Day -1,
Marble19,9/25/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180925_2_fcbox,2,Shock Box Day -1,
Marble19,9/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180926_1_openfield,1,Open field Day 0,
Marble19,9/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180926_2_fcbox,2,Shock Box Day 0,
Marble19,9/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180926_3_openfield,3,Open field  4hr,
Marble19,9/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180926_4_fcbox,4,Shock Box  4hr,
Marble19,9/27/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180927_1_openfield,1,Open field Day 1,
Marble19,9/27/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180927_2_fcbox,2,Shock Box Day 1,
Marble19,9/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180928_1_openfield,1,Open field Day 2,
Marble19,9/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20180928_2_fcbox,2,Shock Box Day 2,
Marble19,10/3/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20181003_1_openfield,1,Open field Day 7,
Marble19,10/3/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble19/20181003_2_fcbox,2,Shock Box Day 7,
Marble20,10/8/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181008_1_openfield,1,Open field Day -2,
Marble20,10/8/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181008_2_fcbox,2,Shock Box Day -2,
Marble20,10/9/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181009_1_openfield,1,Open field Day -1,
Marble20,10/9/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181009_2_fcbox,2,Shock Box Day -1,
Marble20,10/10/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181010_1_openfield,1,Open field Day 0,
Marble20,10/10/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181010_2_fcbox,2,Shock Box Day 0,
Marble20,10/10/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181010_3_openfield,3,Open field  4hr,
Marble20,10/10/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181010_4_fcbox,4,Shock Box  4hr,
Marble20,10/11/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181011_1_openfield,1,Open field Day 1,
Marble20,10/11/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181011_2_fcbox,2,Shock Box Day 1,
Marble20,10/12/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181012_1_openfield,1,Open field Day 2,
Marble20,10/12/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181012_2_fcbox,2,Shock Box Day 2,
Marble20,10/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble20_10Hz/20181017_1_openfield,1,Open field Day 7,
